Sr.No,College Name ,Branch ,OBC
1,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Computer Science and Engineering,93.56
2,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",CSE(Data Science),89.54
3,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",CSE(Artifical Intelligence and Machine Learning),88.96
4,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Computer Science and Business Systems,86.91
5,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Electronics and Telecommunication Engineering,80.62
6,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Electrical Engineering,70.72
7,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Mechanical Engineering,35.39
8,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Civil Engineering,17.5
9,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Civil and Environmental Engineering,15.1
10,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Bio Technology,0
