Sr.No.,Colleges,CourseName,SC,City
63,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Computer Engg,85.797,Pune
64,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Technology,85.477,"Wanadongri, Nagpur"
65,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(AIML),85.45,Ichalkaranji
66,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",AI & DS,84.656,"Wanadongri, Nagpur"
67,"Institute Of Chemical Technology , Matuga , Mumbai",Fibres & Textile Processing Technology,84.093,"Matuga , Mumbai"
68,"Institute Of Chemical Technology , Matuga , Mumbai",Dyestuff Technology,84.014,"Matuga , Mumbai"
69,AISSMS College of Engineering,A.I & D.S,84.014,Pune
70,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Production Engineering(Sandwich),83.696,"Matuga , Mumbai"
71,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Information Technology,83.696,Pune
72,AISSMS College of Engineering,Computer Engg,83.515,Pune
73,"Modern Education Society's College of Engineering, Pune",Computer Engg,83.515,Pune
74,"MIT Academy of Engineering,Alandi, Pune",Electronics and Telecommunication Engineering,83.44,"Alandi, Pune"
75,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Design,83.415,"Wanadongri, Nagpur"
76,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",E & TC,83.294,Pune
77,"Government College Of Engineering, Yavatmal",Computer Engineering,83.1461,Yavatmal
78,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),82.8743796,Kolhapur
79,"Walchand College of Engineering, Sangli",Civil Engineering,82.525,Sangli
80,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",E & TC,82.449,Pune
81,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",E & TC,82.013,Nanded
82,"Rajarambapu Institute of Technology , Islampur",C.S. And I.T.,81.457,Islampur
83,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Computer Engineering,81.451,Pune
84,"Government College of Engineering, Aurangabad",Electrical Engineering,81.4293,Aurangabad
85,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Computer Science and engineering,81.29,Ichalkaranji
86,"College Of Engineering, Pune",Manufacturing & Science Engi8neering,80.915,Pune
87,"Sinhagad College of Engineering,Vadgaon,Pune",Electrical Engg,79.959,Pune
88,"Sinhagad College of Engineering,Vadgaon,Pune",E & TC,79.959,Pune
89,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Computer Engineering,79.53,Pune
90,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),79.2815054,Kolhapur
91,"Government College Of Engineering, Amravati ",Electrical Engineerinng,78.7825,Amravati
92,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Electrical Engineering,78.58,Nanded
93,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics & Telecommunication Engineering,77.5431,"Wanadongri, Nagpur"
94,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Textile Technology,77.38,"Matuga , Mumbai"
95,"Government College Of Engineering, Amravati ",Mechanical Engineering ,77.3113,Amravati
96,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Information Technology,77.0311,Pune
97,AISSMS College of Engineering,E & TC,76.221,Pune
98,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Civil Engineering,75.718,Pune
99,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Information Technology,75.109,Pune
100,"D.Y.Patil College of Engineering and Technology, Kolhapur",Computer Science & Engineering,74.658,Kolhapur
101,"Government College of Engineering, Aurangabad",Mechanical Engineering,74.226,Aurangabad
102,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,72.9031949,Kolhapur
103,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Mechanical Engineering,72.898,Pune
104,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",AI & DS,72.898,Pune
105,"MIT Academy of Engineering,Alandi, Pune",Electronics Engineering,72.706,"Alandi, Pune"
106,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Computer Science and Engineering,71.236,Nanded
107,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Information Technology,71.197,Nanded
108,"Rajarambapu Institute of Technology , Islampur",Civil Engineering,71.062,Islampur
109,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Instrumentation Engineering,70.825,Nanded
110,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,69.3404295,Kolhapur
111,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics Engineering,68.991,"Wanadongri, Nagpur"
112,"Modern Education Society's College of Engineering, Pune",E & TC,68.102,Pune
113,"Sinhagad College of Engineering,Vadgaon,Pune",Chemical Engg,68.102,Pune
114,"Government College of Engineering, Aurangabad",Civil Engineering,67.7173,Aurangabad
115,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Computer Science & Engineering,66.755,Kolhapur
