Sr.No.,Colleges,CourseName,ST,City
65,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Computer Engg,72.967,Pune
66,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electrical Engineering,72.659,"Matuga , Mumbai"
67,"Sharad Institute of Technology College of engineering, Yadrav",Computer Science & Engineering,72.282,Yadrav
68,"College Of Engineering, Pune",Manufacturing & Science Engi8neering,72.123,Pune
69,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(DS),71.062,"Andheri, Mumbai"
70,"MIT Academy of Engineering,Alandi, Pune",Computer Engineering,70.9263,"Alandi, Pune"
71,"Department of Technology , Kolhapur",Computer Science & Technology,70.897,Kolhapur
72,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Information Technology,70.788,Pune
73,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Chemical Engineering,70.213,Navi Mumbai
74,"Government College Of Engineering, Yavatmal",Electronics & Telecommunication Engineering,69.3948,Yavatmal
75,"Walchand College of Engineering, Sangli",Civil Engineering,68.324,Sangli
76,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",CSE(AI&ML),68.324,Pune
77,"Sardar Patel College of Engineering, Andheri",Mechanical Engineering,68.102,"Andheri, Mumbai"
78,"Government College of Engineering, Aurangabad",Information Technology,67.7143,Aurangabad
79,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Mechanical Engineering,67.291,Pune
80,"D.Y.Patil College of Engineering and Technology, Kolhapur",E&TC,66.755,Kolhapur
81,"Sardar Patel College of Engineering, Andheri",Electrical Engineering,66.241,"Andheri, Mumbai"
82,"D.Y.Patil College of Engineering and Technology, Kolhapur",Computer Science & Engineering,66.24,Kolhapur
83,"Annasaheb Dange College of Engineering & Technology , Ashta",A.I. and D.S.,66.077,Ashta
84,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,65.87,Kolhapur
85,AISSMS College of Engineering,Electrical Engineering,65.808,Pune
86,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Computer Science and engg,65.265,Nanded
87,"Annasaheb Dange College of Engineering & Technology , Ashta",CSE(IoT and C.S),64.167,Ashta
88,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Information Technology,63.562,Pune
89,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electronics and Telecommunication Engineering,63.56,Ichalkaranji
90,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,62.83,Kolhapur
91,"Government College Of Engineering, Amravati ",Electronics & Telecommunication Engineering,61.8814,Amravati
92,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Electronics and telecommunication Engineering,61.528,"Andheri, Mumbai"
93,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Information Technology,61.528,"Wanadongri, Nagpur"
94,"Rajarambapu Institute of Technology , Islampur",Civil Engineering,61.52,Islampur
95,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Mechanical Engineering,60.858,Pune
96,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electronics & Telecommunication Engineering,59.736,Pune
