Sr.No.,Colleges,CourseName,VJ,City
65,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),82.3797757,Kolhapur
66,AISSMS College of Engineering,A.I & D.S,82.247,Pune
67,"Rajarambapu Institute of Technology , Islampur",Computer Science & Engineering,82.0962,Islampur
68,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Computer Engg,81.232,Pune
69,"Rajarambapu Institute of Technology , Islampur",C.S. And I.T.,80.706,Islampur
70,"Government College of Engineering, Aurangabad",Civil Engineering,80.1069,Aurangabad
71,"Annasaheb Dange College of Engineering & Technology , Ashta",Computer Science and engineering,79.785,Ashta
72,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Instrumentation Engineering,79.255,Nanded
73,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electrical Engineering,78.589,"Matuga , Mumbai"
74,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Computer Science and Engineering,77.0311,Nanded
75,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Information Technology,75.673,Navi Mumbai
76,"Government College of Engineering, Aurangabad",Electrical Engineering,75.5619,Aurangabad
77,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Design,75.055,"Wanadongri, Nagpur"
78,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Civil Engg,74.523,Nanded
79,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Robotics & Automation,74.523,Pune
80,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Computer Engineering,74.523,Pune
81,"Government College Of Engineering, Amravati ",Civil Engineering,74.5106,Amravati
82,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Electrical Engineering,74.288,Nanded
83,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(AIML),74.25,Ichalkaranji
84,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Information Technology,72.903,Pune
85,"Government College Of Engineering, Amravati ",Mechanical Engineering ,72.8974,Amravati
86,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Computer Engineering,72.641,Pune
87,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,72.5765063,Kolhapur
88,"Sinhagad College of Engineering,Vadgaon,Pune",Electrical Engg,71.121,Pune
89,"Sinhagad College of Engineering,Vadgaon,Pune",E & TC,71.121,Pune
90,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",E & TC,71.065,Nanded
91,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,70.7220669,Kolhapur
92,AISSMS College of Engineering,E & TC,70.398,Pune
93,"D.Y.Patil College of Engineering and Technology, Kolhapur",E&TC,69.048,Kolhapur
94,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Information Technology,68.565,Pune
95,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Computer Science and engineering,68.56,Ichalkaranji
96,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Computer Science & Engineering,67.7749,Kolhapur
97,"Annasaheb Dange College of Engineering & Technology , Ashta",CSE(IoT and C.S),67.755,Ashta
98,"Government College of Engineering, Aurangabad",Mechanical Engineering,67.4772,Aurangabad
99,"Government College Of Engineering, Yavatmal",Electronics & Telecommunication Engineering,66.4465,Yavatmal
100,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Information Technology,66.446,Nanded
101,"Modern Education Society's College of Engineering, Pune",E & TC,65.839,Pune
102,"Annasaheb Dange College of Engineering & Technology , Ashta",A.I. and D.S.,65.808,Ashta
103,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",AI & DS,65.808,"Wanadongri, Nagpur"
104,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Civil Engg,63.716,Pune
105,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electronics and Telecommunication Engineering,63.65,Ichalkaranji
106,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Mechanical Engineering,63.562,Pune
107,"Government College Of Engineering, Amravati ",Electrical Engineerinng,60.8608,Amravati
108,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",CSE(AIML),59.789,"Wanadongri, Nagpur"
109,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics & Telecommunication Engineering,59.736,"Wanadongri, Nagpur"
110,"MIT Academy of Engineering,Alandi, Pune",Electronics Engineering,59.682,"Alandi, Pune"
111,"Government College Of Engineering, Yavatmal",Mechanical Engineering,56.3628,Yavatmal
112,"Department of Technology , Kolhapur",Computer Science & Technology,55.575,Kolhapur
113,"Government College Of Engineering, Yavatmal",Electrical Engineering ,55.2181,Yavatmal
114,"D.Y.Patil College of Engineering and Technology, Kolhapur",Computer Science & Engineering,55.021,Kolhapur
115,"Rajarambapu Institute of Technology , Islampur",Electrical Engineering,54.656,Islampur
116,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Chemical Engineering,54.656,Kolhapur
117,"MIT Academy of Engineering,Alandi, Pune",Civil Engineering,53.926,"Alandi, Pune"
118,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(DS),52.016,Kolhapur
119,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Electronics and Telecommunication Engineering,51.235,Nanded
120,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,44.7418375,Kolhapur
121,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Industrial IoT,41.134,"Wanadongri, Nagpur"
122,"Department of Technology , Kolhapur",Electronics and Telecommunication Engineering,40.767,Kolhapur
123,"MIT Academy of Engineering,Alandi, Pune",Mechanical Engineering,39.592,"Alandi, Pune"
124,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Mechanical Engineering,38.752,Pune
125,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(DS),38.75,Ichalkaranji
126,"Sharad Institute of Technology College of engineering, Yadrav",A.I. & D.S,37.427,Yadrav
127,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Fashion Engineering,37.42,Ichalkaranji
128,"Rajarambapu Institute of Technology , Islampur",Civil Engineering,37.381,Islampur
129,"Rajarambapu Institute of Technology , Islampur",Electronics and Telecommunication Engineering,37.381,Islampur
130,"Government College Of Engineering, Yavatmal",Civil Engineering,35.8335,Yavatmal
131,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(AIML),33.986,Kolhapur
132,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Technology,33.82,Ichalkaranji
133,"Rajarambapu Institute of Technology , Islampur",Mechanical Engineering,33.168,Islampur
134,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electrical Engineering,30.671,Pune
135,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electrical engineering,29.09,Ichalkaranji
136,"Annasaheb Dange College of Engineering & Technology , Ashta",Aeronautical Engineering,27.773,Ashta
137,"Government College Of Engineering, Amravati ",Instrumentation Engineering,25.8381,Amravati
138,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,21.2317049,Kolhapur
139,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics Engineering,17.656,"Wanadongri, Nagpur"
140,"Sharad Institute of Technology College of engineering, Yadrav",Computer Science & Engineering,14.514,Yadrav
141,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Man Made textile engineering,13.81,Ichalkaranji
142,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electrical Engineering(Electronics & Power),12.798,"Wanadongri, Nagpur"
143,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electrical Engineering,12.673,Pune
144,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Electronics & Computer Engineering,10.275,Kolhapur
145,"Annasaheb Dange College of Engineering & Technology , Ashta",Electrical engineering,10.132,Ashta
146,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,8.6,Kolhapur
147,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Mechanical Engineering,8.4069,"Wanadongri, Nagpur"
148,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Civil Engineering,8.406,"Wanadongri, Nagpur"
149,"Sharad Institute of Technology College of engineering, Yadrav",Electronics & Computer Engineering,5.226,Yadrav
150,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Electronics and Telecommunication Engineering,4.2387,Navi Mumbai
151,"MIT Academy of Engineering,Alandi, Pune",Chemical Engineering,3.2788,"Alandi, Pune"
152,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Mechanical Engineering,1.541,Pune
153,"D.Y.Patil College of Engineering and Technology, Kolhapur",Civil Engineering,0,Kolhapur
154,"D.Y.Patil College of Engineering and Technology, Kolhapur",Chemical Engineering,0,Kolhapur
155,"D.Y.Patil College of Engineering and Technology, Kolhapur",Mechanical Engineering,0,Kolhapur
156,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Chemistry,0,Ichalkaranji
157,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Mechanical Engineering,0,Ichalkaranji
158,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile plant engineering,0,Ichalkaranji
