Sr.No.,Colleges,CourseName,EWS,City
64,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,93.9682991,Kolhapur
65,"Government College Of Engineering, Amravati ",Information Technology,93.8349,Amravati
66,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Mechanical Engineering,93.585,"Matunga, Mumbai"
67,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Mechanical Engineering,93.585,"Matunga, Mumbai"
68,"Rajarambapu Institute of Technology , Islampur",Computer Science & Engineering,93.499,Islampur
69,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",E & TC,93.083,Pune
70,"Institute Of Chemical Technology , Matuga , Mumbai",Dyestuff Technology,92.873,"Matuga , Mumbai"
71,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),92.6510305,Kolhapur
72,"Government College of Engineering, Aurangabad",Electronics & Telecommunication Engineering,92.651,Aurangabad
73,"LakshmiNarayan Institute of Technology ,Nagpur",Chemical Engineering,92.579,Nagpur
74,"Rajarambapu Institute of Technology , Islampur",C.S. And I.T.,92.276,Islampur
75,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Computer Engg,91.91,Pune
76,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),91.6809035,Kolhapur
77,"Government College Of Engineering, Amravati ",Electronics & Telecommunication Engineering,91.6047,Amravati
78,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Computer Engineering,91.577,Pune
79,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Computer Engg,91.441,Pune
80,"Modern Education Society's College of Engineering, Pune",Computer Engg,91.441,Pune
81,"Modern Education Society's College of Engineering, Pune",Computer Engg,91.441,Pune
82,"Sinhagad College of Engineering,Vadgaon,Pune",Information Technology,91.248,Pune
83,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Information Technology,91.168,Pune
84,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",E & TC,90.973,Nanded
85,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Computer Science and engineering,90.815,Ichalkaranji
86,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Textile Technology,90.799,"Matunga, Mumbai"
87,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Textile Technology,90.799,"Matunga, Mumbai"
88,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",E & TC,90.628,Pune
89,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Information Technology,90.587,Navi Mumbai
90,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Information Technology,90.524,Pune
91,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Engineering,90.179,"Wanadongri, Nagpur"
92,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Civil Engineering,90.053,Pune
93,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,89.8095193,Kolhapur
94,"MIT Academy of Engineering,Alandi, Pune",Electronics and Telecommunication Engineering,88.786,"Alandi, Pune"
95,"Rajarambapu Institute of Technology , Islampur",Electronics and Telecommunication Engineering,88.752,Islampur
96,"Annasaheb Dange College of Engineering & Technology , Ashta",Computer Science and engineering,88.487,Ashta
97,"Institute Of Chemical Technology , Matuga , Mumbai",Fibres & Textile Processing Technology,88.484,"Matuga , Mumbai"
98,"LakshmiNarayan Institute of Technology ,Nagpur",Food Technology ,88.461,Nagpur
99,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(AIML),88.008,Ichalkaranji
100,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Electrical Engineering,87.781,Nanded
101,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,87.2542051,Kolhapur
102,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Information Technology,86.779,"Wanadongri, Nagpur"
103,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Mechanical Engineering,86.779,Pune
104,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",CSE(AIML),86.593,"Wanadongri, Nagpur"
105,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",E & TC,86.35,Pune
106,"D.Y.Patil College of Engineering and Technology, Kolhapur",Computer Science & Engineering,86.232,Kolhapur
107,"Government College of Engineering, Aurangabad",Electrical Engineering,85.7225,Aurangabad
108,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Instrumentation Engineering,85.311,Nanded
109,"LakshmiNarayan Institute of Technology ,Nagpur",Surface Coating,85.179,Nagpur
110,"Rajarambapu Institute of Technology , Islampur",Electrical Engineering,84.686,Islampur
111,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Computer Science & Engineering,84.656,Kolhapur
112,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Electrical Engineering,84.553,Pune
113,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(DS),83.976,Ichalkaranji
114,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Technology,83.341,"Wanadongri, Nagpur"
115,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Computer Engineering,83.125,Pune
116,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Civil Engg,82.776,Nanded
117,"Department of Technology, Kolhapur",Computer Science & Technology,82.322,Kolhapur
118,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Civil Engg,82.322,Pune
119,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Mechanical Engineering,82.174,Pune
120,"MIT Academy of Engineering,Alandi, Pune",Electronics Engineering,81.757,"Alandi, Pune"
121,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(AIML),81.616,Kolhapur
122,"Sharad Institute of Technology College of engineering, Yadrav",Computer Science & Engineering,81.503,Yadrav
123,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Computer Science and Engineering,81.4005,Nanded
124,"Walchand College of Engineering, Sangli",Electronics Engineering,81.296,Sangli
125,"LakshmiNarayan Institute of Technology ,Nagpur",Plastic & Polymer technology,81.271,Nagpur
126,"Sinhagad College of Engineering,Vadgaon,Pune",Electrical Engg,81.27,Pune
127,"Sinhagad College of Engineering,Vadgaon,Pune",E & TC,81.27,Pune
128,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",E & TC,81.083,Pune
129,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Chemical Engineering,80.822,Nanded
130,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electronics and Telecommunication Engineering,80.706,Ichalkaranji
131,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Information Technology,80.222,Pune
132,"Government College Of Engineering, Amravati ",Electrical Engineerinng,80.1068,Amravati
133,"LakshmiNarayan Institute of Technology ,Nagpur",Oil Technology,80.086,Nagpur
134,"Rajarambapu Institute of Technology , Islampur",Civil Engineering,79.541,Islampur
135,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(DS),79.366,Kolhapur
136,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",AI & DS,79.301,"Wanadongri, Nagpur"
137,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electronics and Telecommunication Engineering,78.579,Pune
138,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",AI & DS,78.062,Pune
139,"Modern Education Society's College of Engineering, Pune",E & TC,77.806,Pune
140,"Modern Education Society's College of Engineering, Pune",E & TC,77.806,Pune
141,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Mechanical Engineering,77.53,Pune
142,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,77.0895594,Kolhapur
143,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Electronics & Computer Engineering,76.22,Kolhapur
144,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Electronics and Telecommunication Engineering,76.119,Jaysingpur
145,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Information Technology,75.847,Nanded
146,"Department of Technology, Kolhapur",Food Technology,75.718,Kolhapur
147,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Design,75.718,"Wanadongri, Nagpur"
148,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Chemical Engineering,75.109,Kolhapur
149,"Annasaheb Dange College of Engineering & Technology , Ashta",A.I. and D.S.,75.055,Ashta
150,"Annasaheb Dange College of Engineering & Technology , Ashta",Aeronautical Engineering,74.658,Ashta
151,"D.Y.Patil College of Engineering and Technology, Kolhapur",E&TC,74.249,Kolhapur
152,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,74.1,Kolhapur
153,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Production Engineering,71.064,Nanded
154,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Mechanical Engineerng,71.064,Nanded
155,"Annasaheb Dange College of Engineering & Technology , Ashta",CSE(IoT and C.S),71.062,Ashta
156,"Sharad Institute of Technology College of engineering, Yadrav",A.I. & D.S,69.668,Yadrav
157,"Government College Of Engineering, Amravati ",Mechanical Engineering ,69.3404,Amravati
158,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Electronics and Telecommunication Engineering,68.377,Nanded
159,"Department of Technology, Kolhapur",Electronics and Telecommunication Engineering,68.324,Kolhapur
160,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Electronics and Telecommunication Engineering,67.979,Navi Mumbai
161,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electrical Engineering(Electronics & Power),67.291,"Wanadongri, Nagpur"
162,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,67.1125395,Kolhapur
163,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Mechanical Engineering,66.141,Jaysingpur
164,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics & Telecommunication Engineering,66.141,"Wanadongri, Nagpur"
165,"Rajarambapu Institute of Technology , Islampur",Mechanical Engineering,66.077,Islampur
166,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Fashion Engineering,65.533,Ichalkaranji
167,"Government College Of Engineering, Amravati ",Instrumentation Engineering,64.5161,Amravati
168,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Technology,63.653,Ichalkaranji
169,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electronics & Telecommunication Engineering,63.591,Pune
170,"Sharad Institute of Technology College of engineering, Yadrav",Electronics & Computer Engineering,63.563,Yadrav
171,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Electrical Engineering,63.562,Pune
172,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electrical engineering,61.251,Ichalkaranji
173,"Annasaheb Dange College of Engineering & Technology , Ashta",Electrical engineering,61.251,Ashta
174,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Chemical Engineering,60.086,Navi Mumbai
