Sr.No.,Colleges,CourseName,OBC,City
65,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Information Technology,90.774,Navi Mumbai
66,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",E & TC,90.628,Pune
67,"Government College of Engineering, Aurangabad",Electronics & Telecommunication Engineering,90.5561,Aurangabad
68,AISSMS College of Engineering,A.I & D.S,90.285,Pune
69,"Walchand College of Engineering, Sangli",Civil Engineering,90.203,Sangli
70,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Computer Engineering,89.809,Pune
71,"Rajarambapu Institute of Technology , Islampur",Computer Science & Engineering,89.391,Islampur
72,"Institute Of Chemical Technology , Matuga , Mumbai",Fibres & Textile Processing Technology,89.3107,"Matuga , Mumbai"
73,"Rajarambapu Institute of Technology , Islampur",C.S. And I.T.,89.092,Islampur
74,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Technology,88.986,"Wanadongri, Nagpur"
75,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Information Technology,88.982,Pune
76,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Information Technology,88.588,"Wanadongri, Nagpur"
77,"LakshmiNarayan Institute of Technology ,Nagpur",Food Technology ,88.461,Nagpur
78,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Textile Technology,88.292,"Matuga , Mumbai"
79,"MIT Academy of Engineering,Alandi, Pune",Electronics and Telecommunication Engineering,88.241,"Alandi, Pune"
80,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),87.42,Kolhapur
81,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),87.42,Kolhapur
82,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",E & TC,87.401,Nanded
83,"Institute Of Chemical Technology , Matuga , Mumbai",Dyestuff Technology,87.259,"Matuga , Mumbai"
84,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",CSE(AIML),86.837,"Wanadongri, Nagpur"
85,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",AI & DS,86.222,"Wanadongri, Nagpur"
86,AISSMS College of Engineering,E & TC,85.862,Pune
87,"Government College Of Engineering, Yavatmal",Computer Engineering,85.2528,Yavatmal
88,"LakshmiNarayan Institute of Technology ,Nagpur",Surface Coating,85.179,Nagpur
89,"Government College Of Engineering, Amravati ",Electrical Engineerinng,84.8614,Amravati
90,"Government College of Engineering, Aurangabad",Electrical Engineering,84.8611,Aurangabad
91,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Computer Science and engineering,83.98,Ichalkaranji
92,"Sinhagad College of Engineering,Vadgaon,Pune",E & TC,83.515,Pune
93,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Computer Engineering,83.189,"Nerhe, Pune"
94,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Design,82.096,"Wanadongri, Nagpur"
95,"Sinhagad College of Engineering,Vadgaon,Pune",Electrical Engg,82.096,Pune
96,"Annasaheb Dange College of Engineering & Technology , Ashta",Computer Science and engineering,81.988,Ashta
97,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,81.51,Kolhapur
98,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,81.41,Kolhapur
99,"LakshmiNarayan Institute of Technology ,Nagpur",Plastic & Polymer technology,81.271,Nagpur
100,"MIT Academy of Engineering,Alandi, Pune",Electronics Engineering,80.454,"Alandi, Pune"
101,"LakshmiNarayan Institute of Technology ,Nagpur",Oil Technology,80.086,Nagpur
102,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Information Technology,79.951,"Nerhe, Pune"
103,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(AIML),79.95,Ichalkaranji
104,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Civil Engineering,79.751,
105,"Government College of Engineering, Aurangabad",Mechanical Engineering,79.1079,Aurangabad
106,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Mechanical Engineering,78.861,
107,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Mechanical Engineering,78.581,Pune
108,"D.Y.Patil College of Engineering and Technology, Kolhapur",Computer Science & Engineering,78.57,Kolhapur
109,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics & Telecommunication Engineering,78.439,"Wanadongri, Nagpur"
110,"Modern Education Society's College of Engineering, Pune",E & TC,77.218,Pune
111,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",E & TC,76.756,Pune
112,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",AI & DS,76.684,"Nerhe, Pune"
113,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Instrumentation Engineering,76.155,Nanded
114,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Civil Engg,76.103,Nanded
