Sr.No.,Colleges,CourseName,NT-D,City
128,"Department of Technology , Kolhapur",Electronics and Telecommunication Engineering,32.207,Kolhapur
129,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Civil Engineering,30.671,"Wanadongri, Nagpur"
130,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electrical engineering,30.42,Ichalkaranji
131,"Annasaheb Dange College of Engineering & Technology , Ashta",Aeronautical Engineering,30.331,Ashta
132,"Rajarambapu Institute of Technology , Islampur",Mechanical Engineering,30.3004,Islampur
133,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(DS),27.417,Kolhapur
134,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Industrial IoT,27.003,"Wanadongri, Nagpur"
135,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(AIML),25.272,Kolhapur
136,"Government College Of Engineering, Yavatmal",Mechanical Engineering,21.237,Yavatmal
137,"Rajarambapu Institute of Technology , Islampur",Mechatronics Engineering,17.69,Islampur
138,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Production Engineering,13.818,Nanded
139,"Sharad Institute of Technology College of engineering, Yadrav",Electrical Engineering,12.798,Yadrav
140,"Sharad Institute of Technology College of engineering, Yadrav",Mechatronics Engineering,12.704,Yadrav
141,"D.Y.Patil College of Engineering and Technology, Kolhapur",Chemical Engineering,9.309,Kolhapur
142,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,8.54,Kolhapur
143,"Rajarambapu Institute of Technology , Islampur",Electrical Engineering,6.801,Islampur
144,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Mechanical Engineering,4.523,Pune
145,"D.Y.Patil College of Engineering and Technology, Kolhapur",Civil Engineering,0,Kolhapur
146,"D.Y.Patil College of Engineering and Technology, Kolhapur",Mechanical Engineering,0,Kolhapur
147,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Civil Engineering,0,Ichalkaranji
148,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile plant engineering,0,Ichalkaranji
149,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Mechanical Engineering,0,Ichalkaranji
150,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Chemistry,0,Ichalkaranji
151,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Man Made textile engineering,0,Ichalkaranji
152,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Fashion Engineering,0,Ichalkaranji
