Sr.No.,Colleges,CourseName,OPEN,City
58,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Computer Science and engg,95.171,Nanded
59,"MIT Academy of Engineering,Alandi, Pune",Computer Engineering,95.139,"Alandi, Pune"
60,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",A.I & D.S,94.693,Pune
61,"Shri Ramdeobaba College of Engineering & management , Nagpur",CSE(C.S),94.686,Nagpur
62,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Electronics and Telecommunication Engineering,94.464,Pune
63,"Institute Of Chemical Technology , Matuga , Mumbai",Dyestuff Technology,94.343,"Matuga , Mumbai"
64,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Information Technology,94.247,Nanded
65,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Computer Engineering,94.08382,Navi Mumbai
66,"Sardar Patel College of Engineering, Andheri",Civil Engineering,93.861,Andheri
67,"LakshmiNarayan Institute of Technology ,Nagpur",Food Technology ,93.778,Nagpur
68,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,93.74,Kolhapur
69,"LakshmiNarayan Institute of Technology ,Nagpur",Chemical Engineering,93.616,Nagpur
70,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Computer Engg,93.577,Pune
71,"Walchand College of Engineering, Sangli",Civil Engineering,93.271,Sangli
72,"Sinhagad College of Engineering,Vadgaon,Pune",Information Technology,93.133,Pune
73,"K J Somaiya Institute of Technology , Mumbai",Electronics and Telecommunication Enggineering,93.083,Mumbai
74,"Shri Ramdeobaba College of Engineering & management , Nagpur",Electronics & Telecommunication Engineering,93.067,Nagpur
75,"Institute Of Chemical Technology , Matuga , Mumbai",Fibres & Textile Processing Technology,92.9007,"Matuga , Mumbai"
76,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mechanical Engineering,92.813,"Vile Parle,Mumbai"
77,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Engineering,92.641,"Wanadongri, Nagpur"
78,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Information Technology,92.6197,Navi Mumbai
79,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",E & TC,92.317,Pune
80,"Rajarambapu Institute of Technology , Islampur",Computer Science & Engineering,92.276,Islampur
81,AISSMS College of Engineering,A.I & D.S,91.848,Pune
83,"Modern Education Society's College of Engineering, Pune",Computer Engg,91.578,Pune
82,AISSMS College of Engineering,Computer Engg,91.578,Pune
84,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Information Technology,91.495,Pune
85,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),91.26,Kolhapur
86,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Textile Technology,90.761,"Matunga, Mumbai"
87,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),90.53,Kolhapur
88,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",E & TC,90.508,Pune
89,"Rajarambapu Institute of Technology , Islampur",C.S. And I.T.,90.285,Islampur
90,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Computer Engineering,90.1338,Pune
91,"Sinhagad College of Engineering,Vadgaon,Pune",Production Engg,89.901,Pune
92,"Shri Ramdeobaba College of Engineering & management , Nagpur",Electronics Engineering,89.692,Nagpur
93,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Information Technology,89.619,"Wanadongri, Nagpur"
95,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",E & TC,89.391,Nanded
94,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",CSE(AIML),89.391,"Wanadongri, Nagpur"
96,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Information Technology,89.2748,Pune
97,"MIT Academy of Engineering,Alandi, Pune",Electronics and Telecommunication Engineering,89.236,"Alandi, Pune"
98,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Computer Science and Engineering,89.16,Ichalkaranji
99,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Technology,89.039,"Wanadongri, Nagpur"
100,"Shri Ramdeobaba College of Engineering & management , Nagpur",Mechanical Engineering,88.886,Nagpur
101,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Civil Engineering,88.775,Pune
102,"Walchand Institute of Technology ,Solapur",Computer Science and engg,88.749,Solapur
103,"Shri Ramdeobaba College of Engineering & management , Nagpur",Electrical Engineering,88.325,Nagpur
104,AISSMS College of Engineering,E & TC,87.643,Pune
105,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,87.42,Kolhapur
106,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Design,86.867,"Wanadongri, Nagpur"
107,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",AI & DS,86.593,"Wanadongri, Nagpur"
108,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Mechanical Engineering,86.503,Pune
109,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Computer Engineering,86.351,Pune
110,"Shri Ramdeobaba College of Engineering & management , Nagpur",Bio  Medical,85.797,Nagpur
111,"Walchand Institute of Technology ,Solapur",Information Technology,85.671,Solapur
112,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(AIML),85.45,Ichalkaranji
113,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,84.87,Kolhapur
114,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(DS),84.68,Ichalkaranji
115,"Rajarambapu Institute of Technology , Islampur",Electronics and Telecommunication Engineering,84.433,Islampur
116,"Sinhagad College of Engineering,Vadgaon,Pune",Electrical Engg,84.425,Pune
117,"Sinhagad College of Engineering,Vadgaon,Pune",E & TC,84.425,Pune
118,"LakshmiNarayan Institute of Technology ,Nagpur",Surface Coating,84.262,Nagpur
119,"Annasaheb Dange College of Engineering & Technology , Ashta",Computer Science and Engineering,84.014,Ashta
120,"D.Y.Patil College of Engineering and Technology, Kolhapur",Computer Science & Engineering,84.014,Kolhapur
121,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Instrumentation Engineering,83.125,Nanded
122,"LakshmiNarayan Institute of Technology ,Nagpur",Petrochemical Engineering,83.072,Nagpur
123,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Electrical Engineering,82.932,Nanded
124,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics & Telecommunication Engineering,81.896,"Wanadongri, Nagpur"
125,"MIT Academy of Engineering,Alandi, Pune",Electronics Engineering,81.3782,"Alandi, Pune"
126,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",E & TC,81.271,Pune
127,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Information Technology,80.822,Pune
128,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(AIML),79.54,Kolhapur
130,"Modern Education Society's College of Engineering, Pune",E & TC,79.301,Pune
129,"Shri Ramdeobaba College of Engineering & management , Nagpur",Civil Engineering,79.301,Nagpur
131,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Computer Science and Engineering,79.107,Nanded
132,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Electrical Engineering,79.077,Pune
133,"LakshmiNarayan Institute of Technology ,Nagpur",Plastic & Polymer technology,79.007,Nagpur
134,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Computer Science & Engineering,78.587,Kolhapur
135,"Rajarambapu Institute of Technology , Islampur",Electrical Engineering,78.518,Islampur
136,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Chemical Engineering,78.1473,Navi Mumbai
137,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",AI & DS,78.062,Pune
138,"Sharad Institute of Technology College of engineering, Yadrav",Computer Science & Engineering,77.35,Yadrav
139,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Civil Engg,77.314,Nanded
140,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Mechanical Engineerng,76.155,Nanded
141,"Shri Ramdeobaba College of Engineering & management , Nagpur",Industrial Engineering,75.666,Nagpur
142,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,75.48,Kolhapur
143,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electronics and Telecommunication Engineering,75.35,Pune
144,"Rajarambapu Institute of Technology , Islampur",Civil Engineering,74.984,Islampur
145,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Information Technology,74.745,Nanded
146,"Walchand Institute of Technology ,Solapur",Electronics & Computer,74.523,Solapur
147,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Mechanical Engineering,74.288,Pune
148,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(DS),74.28,Kolhapur
149,"Department of Technology , Kolhapur",Computer Science & Technology,73.417,Kolhapur
150,"LakshmiNarayan Institute of Technology ,Nagpur",Oil Technology,73.417,Nagpur
151,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Chemical Engineering,72.659,Nanded
152,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Civil Engg,72.28,Pune
153,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics Engineering,71.121,"Wanadongri, Nagpur"
154,"Annasaheb Dange College of Engineering & Technology , Ashta",CSE(IoT and C.S),71.12,Ashta
155,"LakshmiNarayan Institute of Technology ,Nagpur",Paper & Pulp Technology,71.062,Nagpur
156,"MIT Academy of Engineering,Alandi, Pune",Chemical Engineering,70.866,"Alandi, Pune"
157,"Walchand Institute of Technology ,Solapur",E & TC,70.7588,Solapur
